language,ao3_lang_name,latin_lang_name,iso692_name
fur,Furlan,Friulian,FALSE
got,𐌲𐌿𐍄𐌹𐍃𐌺𐌰,Gothic,FALSE
kir,Кыргызча,Kyrgyz,FALSE
lb,Lëtzebuergesch,Luxembourgish,FALSE
ml,മലയാളം,Malayalam,FALSE
mon,ᠮᠣᠩᠭᠣᠯ ᠪᠢᠴᠢᠭ᠌ | Монгол Кирилл үсэг,Mongolian Cyrillic alphabet,FALSE
my,မြန်မာဘာသာ,Burmese,FALSE
ps,پښتو,Pashto,FALSE
nds,Plattdüütsch,Low German ,FALSE
uig,ئۇيغۇر تىلى,Uyghur,FALSE
tqx,Thermian,Thermian,FALSE
zu,isiZulu,Zulu,TRUE
yue,中文-广东话 粵語,Yue Chinese,TRUE
wuu,中文-吴语,Wu Chinese,TRUE
cy,Cymraeg,Welsh,TRUE
vi,Tiếng Việt,Vietnamese,TRUE
uk,Українська,Ukrainian,TRUE
tr,Türkçe,Turkish,TRUE
bod,བོད་སྐད་,Tibetan,TRUE
th,ไทย,Thai,TRUE
qtp,Toki Pona,Tapissary,TRUE
ta,தமிழ்,Tamil,TRUE
sv,Svenska,Swedish,TRUE
sw,Kiswahili,Swahili (macrolanguage),TRUE
es,Español,Spanish,TRUE
so,af Soomaali,Somali,TRUE
slv,Slovenščina,Slovenian,TRUE
sk,Slovenčina,Slovak,TRUE
si,සිංහල,Sinhala,TRUE
sjn,Sindarin,Sindarin,TRUE
sr,српски,Serbian,TRUE
gd,Gàidhlig,Scottish Gaelic,TRUE
sco,Scots,Scots,TRUE
ru,Русский,Russian,TRUE
ro,Română,Romanian,TRUE
qya,Quenya,Quenya,TRUE
fcs,Langue des signes québécoise,Quebec Sign Language,TRUE
ptPT,Português europeu,Portuguese,TRUE
pl,Polski,Polish,TRUE
fa,فارسی,Persian,TRUE
pa,ਪੰਜਾਬੀ,Panjabi,TRUE
arc,ܐܪܡܝܐ | ארמיא,Official Aramaic (700-300 BCE),TRUE
no,Norsk,Norwegian,TRUE
el,Ελληνικά,Modern Greek (1453-),TRUE
nan,中文-闽南话 臺語,Min Nan Chinese,TRUE
mr,मराठी,Marathi,TRUE
mnc,ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ,Manchu,TRUE
ms,Bahasa Malaysia,Malay (macrolanguage),TRUE
mk,македонски,Macedonian,TRUE
lt,Lietuvių kalba,Lithuanian,TRUE
lv,Latviešu valoda,Latvian,TRUE
la,Lingua latina,Latin,TRUE
ko,한국어,Korean,TRUE
tlh,tlhIngan-Hol,Klingon,TRUE
qkz,Khuzdul,Kauzasian,TRUE
jv,Basa Jawa,Javanese,TRUE
ja,日本語,Japanese,TRUE
it,Italiano,Italian,TRUE
ga,Gaeilge,Irish,TRUE
ia,Interlingua,Interlingua (International Auxiliary Language Association),TRUE
id,Bahasa Indonesia,Indonesian,TRUE
is,Íslenska,Icelandic,TRUE
hu,Magyar,Hungarian,TRUE
hi,हिन्दी,Hindi,TRUE
he,עברית,Hebrew,TRUE
hau,Hausa | هَرْشَن هَوْسَ,Hausa,TRUE
hak,中文-客家话,Hakka Chinese,TRUE
gem,Sprēkō Þiudiskō,Germanic languages,TRUE
de,Deutsch,German,TRUE
kat,ქართული,Georgian,TRUE
gl,Galego,Galician,TRUE
fr,Français,French,TRUE
fi,Suomi,Finnish,TRUE
fil,Filipino,Filipino,TRUE
et,eesti keel,Estonian,TRUE
eo,Esperanto,Esperanto,TRUE
en,English,English,TRUE
nl,Nederlands,Dutch,TRUE
da,Dansk,Danish,TRUE
cs,Čeština,Czech,TRUE
hr,Hrvatski,Croatian,TRUE
chn,Chinuk Wawa,Chinook jargon,TRUE
zh,中文-普通话 國語,Chinese,TRUE
ca,Català,Catalan,TRUE
bg,Български,Bulgarian,TRUE
br,brezhoneg,Breton,TRUE
ptBR,Português brasileiro,Brazilian Portuguese,TRUE
bos,Bosanski,Bosnian,TRUE
bn,বাংলা,Bengali,TRUE
be,беларуская,Belarusian,TRUE
eu,Euskara,Basque,TRUE
hy,հայերեն,Armenian,TRUE
ar,العربية,Arabic,TRUE
sq,Shqip,Albanian,TRUE
afr,Afrikaans,Afrikaans,TRUE
